id,Target
76829,Dropped
76830,Enrolled
76831,Graduate
76832,Enrolled
76833,Dropped
76834,Dropped
76835,Dropped
76836,Enrolled
76837,Graduate
76838,Graduate
76839,Graduate
76840,Graduate
76841,Graduate
76842,Dropped
76843,Dropped
76844,Graduate
76845,Graduate
76846,Dropped
76847,Dropped
76848,Graduate
76849,Graduate
76850,Graduate
76851,Dropped
76852,Graduate
76853,Enrolled
76854,Dropped
76855,Graduate
76856,Dropped
76857,Graduate
76858,Graduate
76859,Dropped
76860,Dropped
76861,Graduate
76862,Graduate
76863,Graduate
76864,Graduate
76865,Graduate
76866,Enrolled
76867,Enrolled
76868,Graduate
76869,Dropped
76870,Dropped
76871,Graduate
76872,Graduate
76873,Dropped
76874,Enrolled
76875,Dropped
76876,Enrolled
76877,Dropped
76878,Dropped
76879,Graduate
76880,Dropped
76881,Dropped
76882,Dropped
76883,Graduate
76884,Enrolled
76885,Graduate
76886,Graduate
76887,Graduate
76888,Enrolled
76889,Dropped
76890,Dropped
76891,Graduate
76892,Dropped
76893,Graduate
76894,Graduate
76895,Graduate
76896,Dropped
76897,Graduate
76898,Dropped
76899,Dropped
76900,Dropped
76901,Dropped
76902,Graduate
76903,Dropped
76904,Graduate
76905,Graduate
76906,Dropped
76907,Enrolled
76908,Graduate
76909,Graduate
76910,Dropped
76911,Graduate
76912,Dropped
76913,Dropped
76914,Graduate
76915,Graduate
76916,Dropped
76917,Graduate
76918,Enrolled
76919,Dropped
76920,Dropped
76921,Graduate
76922,Dropped
76923,Dropped
76924,Graduate
76925,Dropped
76926,Enrolled
76927,Graduate
76928,Graduate
76929,Graduate
76930,Dropped
76931,Graduate
76932,Graduate
76933,Graduate
76934,Dropped
76935,Dropped
76936,Graduate
76937,Dropped
76938,Graduate
76939,Enrolled
76940,Graduate
76941,Graduate
76942,Dropped
76943,Dropped
76944,Graduate
76945,Graduate
76946,Enrolled
76947,Graduate
76948,Graduate
76949,Graduate
76950,Dropped
76951,Dropped
76952,Graduate
76953,Graduate
76954,Dropped
76955,Graduate
76956,Enrolled
76957,Graduate
76958,Graduate
76959,Graduate
76960,Dropped
76961,Graduate
76962,Graduate
76963,Graduate
76964,Graduate
76965,Dropped
76966,Graduate
76967,Graduate
76968,Dropped
76969,Graduate
76970,Graduate
76971,Enrolled
76972,Graduate
76973,Dropped
76974,Enrolled
76975,Dropped
76976,Graduate
76977,Dropped
76978,Graduate
76979,Graduate
76980,Enrolled
76981,Enrolled
76982,Dropped
76983,Graduate
76984,Graduate
76985,Graduate
76986,Dropped
76987,Dropped
76988,Dropped
76989,Dropped
76990,Enrolled
76991,Dropped
76992,Dropped
76993,Graduate
76994,Enrolled
76995,Dropped
76996,Graduate
76997,Dropped
76998,Graduate
76999,Graduate
77000,Dropped
77001,Graduate
77002,Dropped
77003,Dropped
77004,Dropped
77005,Dropped
77006,Dropped
77007,Graduate
77008,Graduate
77009,Dropped
77010,Graduate
77011,Graduate
77012,Graduate
77013,Graduate
77014,Dropped
77015,Graduate
77016,Enrolled
77017,Dropped
77018,Dropped
77019,Graduate
77020,Graduate
77021,Graduate
77022,Dropped
77023,Dropped
77024,Enrolled
77025,Dropped
77026,Graduate
77027,Graduate
77028,Dropped
77029,Graduate
77030,Graduate
77031,Dropped
77032,Graduate
77033,Graduate
77034,Graduate
77035,Enrolled
77036,Graduate
77037,Enrolled
77038,Dropped
77039,Dropped
77040,Dropped
77041,Graduate
77042,Dropped
77043,Dropped
77044,Dropped
77045,Graduate
77046,Enrolled
77047,Enrolled
77048,Dropped
77049,Dropped
77050,Enrolled
77051,Enrolled
77052,Graduate
77053,Dropped
77054,Graduate
77055,Dropped
77056,Graduate
77057,Dropped
77058,Dropped
77059,Dropped
77060,Graduate
77061,Graduate
77062,Dropped
77063,Graduate
77064,Dropped
77065,Dropped
77066,Enrolled
77067,Dropped
77068,Dropped
77069,Graduate
77070,Enrolled
77071,Graduate
77072,Dropped
77073,Graduate
77074,Graduate
77075,Dropped
77076,Dropped
77077,Enrolled
77078,Dropped
77079,Enrolled
77080,Enrolled
77081,Dropped
77082,Enrolled
77083,Enrolled
77084,Graduate
77085,Graduate
77086,Enrolled
77087,Graduate
77088,Enrolled
77089,Graduate
77090,Dropped
77091,Enrolled
77092,Graduate
77093,Dropped
77094,Dropped
77095,Dropped
77096,Graduate
77097,Graduate
77098,Graduate
77099,Enrolled
77100,Graduate
77101,Enrolled
77102,Dropped
77103,Graduate
77104,Graduate
77105,Graduate
77106,Dropped
77107,Graduate
77108,Graduate
77109,Graduate
77110,Graduate
77111,Graduate
77112,Graduate
77113,Dropped
77114,Graduate
77115,Graduate
77116,Dropped
77117,Dropped
77118,Enrolled
77119,Graduate
77120,Dropped
77121,Graduate
77122,Enrolled
77123,Graduate
77124,Graduate
77125,Dropped
77126,Graduate
77127,Graduate
77128,Graduate
77129,Graduate
77130,Graduate
77131,Dropped
77132,Graduate
77133,Graduate
77134,Graduate
77135,Graduate
77136,Graduate
77137,Graduate
77138,Graduate
77139,Enrolled
77140,Graduate
77141,Graduate
77142,Dropped
77143,Dropped
77144,Graduate
77145,Graduate
77146,Graduate
77147,Graduate
77148,Graduate
77149,Dropped
77150,Graduate
77151,Graduate
77152,Graduate
77153,Graduate
77154,Graduate
77155,Graduate
77156,Enrolled
77157,Dropped
77158,Enrolled
77159,Enrolled
77160,Graduate
77161,Dropped
77162,Dropped
77163,Graduate
77164,Graduate
77165,Graduate
77166,Graduate
77167,Graduate
77168,Dropped
77169,Dropped
77170,Dropped
77171,Graduate
77172,Enrolled
77173,Enrolled
77174,Graduate
77175,Graduate
77176,Graduate
77177,Dropped
77178,Graduate
77179,Dropped
77180,Enrolled
77181,Dropped
77182,Graduate
77183,Graduate
77184,Graduate
77185,Graduate
77186,Dropped
77187,Graduate
77188,Graduate
77189,Dropped
77190,Enrolled
77191,Graduate
77192,Graduate
77193,Enrolled
77194,Dropped
77195,Enrolled
77196,Dropped
77197,Graduate
77198,Enrolled
77199,Graduate
77200,Graduate
77201,Dropped
77202,Graduate
77203,Dropped
77204,Dropped
77205,Dropped
77206,Graduate
77207,Graduate
77208,Enrolled
77209,Graduate
77210,Dropped
77211,Dropped
77212,Graduate
77213,Dropped
77214,Dropped
77215,Enrolled
77216,Graduate
77217,Dropped
77218,Graduate
77219,Enrolled
77220,Dropped
77221,Enrolled
77222,Graduate
77223,Dropped
77224,Graduate
77225,Graduate
77226,Enrolled
77227,Dropped
77228,Enrolled
77229,Graduate
77230,Graduate
77231,Graduate
77232,Dropped
77233,Graduate
77234,Graduate
77235,Graduate
77236,Graduate
77237,Enrolled
77238,Dropped
77239,Graduate
77240,Enrolled
77241,Graduate
77242,Enrolled
77243,Graduate
77244,Graduate
77245,Graduate
77246,Dropped
77247,Enrolled
77248,Dropped
77249,Dropped
77250,Graduate
77251,Dropped
77252,Graduate
77253,Enrolled
77254,Dropped
77255,Dropped
77256,Graduate
77257,Enrolled
77258,Dropped
77259,Graduate
77260,Dropped
77261,Enrolled
77262,Graduate
77263,Graduate
77264,Dropped
77265,Dropped
77266,Graduate
77267,Dropped
77268,Graduate
77269,Dropped
77270,Enrolled
77271,Enrolled
77272,Graduate
77273,Enrolled
77274,Dropped
77275,Graduate
77276,Enrolled
77277,Dropped
77278,Graduate
77279,Graduate
77280,Graduate
77281,Graduate
77282,Graduate
77283,Graduate
77284,Graduate
77285,Enrolled
77286,Graduate
77287,Graduate
77288,Graduate
77289,Graduate
77290,Graduate
77291,Dropped
77292,Dropped
77293,Enrolled
77294,Graduate
77295,Graduate
77296,Graduate
77297,Dropped
77298,Graduate
77299,Graduate
77300,Graduate
77301,Graduate
77302,Dropped
77303,Graduate
77304,Graduate
77305,Graduate
77306,Enrolled
77307,Graduate
77308,Enrolled
77309,Dropped
77310,Graduate
77311,Dropped
77312,Graduate
77313,Graduate
77314,Enrolled
77315,Dropped
77316,Graduate
77317,Dropped
77318,Dropped
77319,Graduate
77320,Graduate
77321,Enrolled
77322,Enrolled
77323,Graduate
77324,Graduate
77325,Graduate
77326,Graduate
77327,Dropped
77328,Enrolled
77329,Graduate
77330,Dropped
77331,Dropped
77332,Dropped
77333,Enrolled
77334,Dropped
77335,Dropped
77336,Graduate
77337,Dropped
77338,Graduate
77339,Dropped
77340,Graduate
77341,Dropped
77342,Graduate
77343,Graduate
77344,Enrolled
77345,Graduate
77346,Graduate
77347,Graduate
77348,Enrolled
77349,Graduate
77350,Dropped
77351,Graduate
77352,Enrolled
77353,Graduate
77354,Graduate
77355,Graduate
77356,Graduate
77357,Dropped
77358,Dropped
77359,Dropped
77360,Graduate
77361,Graduate
77362,Dropped
77363,Enrolled
77364,Graduate
77365,Dropped
77366,Graduate
77367,Graduate
77368,Graduate
77369,Graduate
77370,Dropped
77371,Graduate
77372,Dropped
77373,Enrolled
77374,Dropped
77375,Graduate
77376,Dropped
77377,Dropped
77378,Dropped
77379,Dropped
77380,Graduate
77381,Dropped
77382,Graduate
77383,Graduate
77384,Graduate
77385,Graduate
77386,Enrolled
77387,Graduate
77388,Dropped
77389,Enrolled
77390,Graduate
77391,Graduate
77392,Graduate
77393,Graduate
77394,Enrolled
77395,Dropped
77396,Graduate
77397,Enrolled
77398,Enrolled
77399,Enrolled
77400,Graduate
77401,Graduate
77402,Graduate
77403,Dropped
77404,Enrolled
77405,Dropped
77406,Enrolled
77407,Dropped
77408,Enrolled
77409,Dropped
77410,Dropped
77411,Dropped
77412,Graduate
77413,Dropped
77414,Dropped
77415,Enrolled
77416,Dropped
77417,Enrolled
77418,Graduate
77419,Dropped
77420,Enrolled
77421,Graduate
77422,Graduate
77423,Graduate
77424,Graduate
77425,Graduate
77426,Dropped
77427,Dropped
77428,Graduate
77429,Graduate
77430,Graduate
77431,Enrolled
77432,Graduate
77433,Graduate
77434,Dropped
77435,Enrolled
77436,Graduate
77437,Graduate
77438,Enrolled
77439,Graduate
77440,Dropped
77441,Graduate
77442,Graduate
77443,Enrolled
77444,Dropped
77445,Graduate
77446,Graduate
77447,Dropped
77448,Dropped
77449,Graduate
77450,Dropped
77451,Enrolled
77452,Graduate
77453,Dropped
77454,Graduate
77455,Dropped
77456,Graduate
77457,Enrolled
77458,Graduate
77459,Dropped
77460,Graduate
77461,Graduate
77462,Graduate
77463,Dropped
77464,Graduate
77465,Graduate
77466,Enrolled
77467,Dropped
77468,Dropped
77469,Dropped
77470,Dropped
77471,Enrolled
77472,Dropped
77473,Graduate
77474,Enrolled
77475,Dropped
77476,Graduate
77477,Enrolled
77478,Dropped
77479,Dropped
77480,Graduate
77481,Dropped
77482,Graduate
77483,Dropped
77484,Dropped
77485,Enrolled
77486,Graduate
77487,Dropped
77488,Dropped
77489,Dropped
77490,Graduate
77491,Dropped
77492,Graduate
77493,Enrolled
77494,Graduate
77495,Graduate
77496,Dropped
77497,Graduate
77498,Dropped
77499,Enrolled
77500,Enrolled
77501,Enrolled
77502,Graduate
77503,Enrolled
77504,Graduate
77505,Enrolled
77506,Graduate
77507,Dropped
77508,Graduate
77509,Enrolled
77510,Dropped
77511,Graduate
77512,Dropped
77513,Graduate
77514,Graduate
77515,Enrolled
77516,Graduate
77517,Graduate
77518,Dropped
77519,Dropped
77520,Dropped
77521,Dropped
77522,Dropped
77523,Graduate
77524,Graduate
77525,Dropped
77526,Dropped
77527,Dropped
77528,Dropped
77529,Graduate
77530,Dropped
77531,Dropped
77532,Dropped
77533,Enrolled
77534,Dropped
77535,Graduate
77536,Enrolled
77537,Graduate
77538,Graduate
77539,Graduate
77540,Graduate
77541,Graduate
77542,Dropped
77543,Enrolled
77544,Graduate
77545,Graduate
77546,Graduate
77547,Graduate
77548,Graduate
77549,Enrolled
77550,Graduate
77551,Dropped
77552,Graduate
77553,Enrolled
77554,Dropped
77555,Graduate
77556,Dropped
77557,Dropped
77558,Graduate
77559,Enrolled
77560,Enrolled
77561,Enrolled
77562,Graduate
77563,Dropped
77564,Graduate
77565,Dropped
77566,Dropped
77567,Graduate
77568,Enrolled
77569,Graduate
77570,Graduate
77571,Graduate
77572,Graduate
77573,Dropped
77574,Graduate
77575,Dropped
77576,Enrolled
77577,Graduate
77578,Dropped
77579,Graduate
77580,Graduate
77581,Enrolled
77582,Dropped
77583,Graduate
77584,Dropped
77585,Dropped
77586,Dropped
77587,Graduate
77588,Graduate
77589,Dropped
77590,Graduate
77591,Enrolled
77592,Dropped
77593,Graduate
77594,Graduate
77595,Graduate
77596,Dropped
77597,Dropped
77598,Graduate
77599,Enrolled
77600,Graduate
77601,Enrolled
77602,Dropped
77603,Graduate
77604,Graduate
77605,Graduate
77606,Enrolled
77607,Graduate
77608,Dropped
77609,Graduate
77610,Graduate
77611,Dropped
77612,Graduate
77613,Dropped
77614,Dropped
77615,Graduate
77616,Dropped
77617,Graduate
77618,Graduate
77619,Graduate
77620,Dropped
77621,Dropped
77622,Enrolled
77623,Dropped
77624,Dropped
77625,Dropped
77626,Dropped
77627,Dropped
77628,Dropped
77629,Graduate
77630,Graduate
77631,Enrolled
77632,Enrolled
77633,Dropped
77634,Graduate
77635,Enrolled
77636,Graduate
77637,Graduate
77638,Dropped
77639,Graduate
77640,Enrolled
77641,Graduate
77642,Graduate
77643,Graduate
77644,Dropped
77645,Graduate
77646,Dropped
77647,Dropped
77648,Enrolled
77649,Graduate
77650,Dropped
77651,Enrolled
77652,Enrolled
77653,Dropped
77654,Graduate
77655,Dropped
77656,Enrolled
77657,Graduate
77658,Graduate
77659,Graduate
77660,Dropped
77661,Dropped
77662,Graduate
77663,Graduate
77664,Enrolled
77665,Graduate
77666,Dropped
77667,Dropped
77668,Dropped
77669,Dropped
77670,Graduate
77671,Graduate
77672,Dropped
77673,Graduate
77674,Graduate
77675,Dropped
77676,Enrolled
77677,Graduate
77678,Graduate
77679,Dropped
77680,Graduate
77681,Enrolled
77682,Enrolled
77683,Graduate
77684,Graduate
77685,Graduate
77686,Dropped
77687,Dropped
77688,Enrolled
77689,Dropped
77690,Dropped
77691,Dropped
77692,Dropped
77693,Graduate
77694,Graduate
77695,Dropped
77696,Dropped
77697,Graduate
77698,Dropped
77699,Dropped
77700,Graduate
77701,Graduate
77702,Dropped
77703,Graduate
77704,Graduate
77705,Graduate
77706,Graduate
77707,Graduate
77708,Graduate
77709,Enrolled
77710,Graduate
77711,Enrolled
77712,Dropped
77713,Dropped
77714,Graduate
77715,Graduate
77716,Graduate
77717,Dropped
77718,Graduate
77719,Graduate
77720,Enrolled
77721,Dropped
77722,Graduate
77723,Graduate
77724,Graduate
77725,Enrolled
77726,Graduate
77727,Dropped
77728,Graduate
77729,Graduate
77730,Dropped
77731,Graduate
77732,Dropped
77733,Graduate
77734,Graduate
77735,Graduate
77736,Graduate
77737,Graduate
77738,Dropped
77739,Graduate
77740,Dropped
77741,Enrolled
77742,Enrolled
77743,Dropped
77744,Dropped
77745,Graduate
77746,Dropped
77747,Graduate
77748,Dropped
77749,Dropped
77750,Dropped
77751,Dropped
77752,Dropped
77753,Enrolled
77754,Dropped
77755,Enrolled
77756,Dropped
77757,Dropped
77758,Graduate
77759,Graduate
77760,Dropped
77761,Dropped
77762,Graduate
77763,Graduate
77764,Enrolled
77765,Dropped
77766,Enrolled
77767,Dropped
77768,Dropped
77769,Enrolled
77770,Graduate
77771,Dropped
77772,Graduate
77773,Dropped
77774,Graduate
77775,Dropped
77776,Enrolled
77777,Graduate
77778,Dropped
77779,Graduate
77780,Enrolled
77781,Dropped
77782,Graduate
77783,Graduate
77784,Graduate
77785,Dropped
77786,Graduate
77787,Graduate
77788,Graduate
77789,Enrolled
77790,Dropped
77791,Graduate
77792,Graduate
77793,Dropped
77794,Graduate
77795,Dropped
77796,Graduate
77797,Dropped
77798,Graduate
77799,Dropped
77800,Graduate
77801,Dropped
77802,Dropped
77803,Dropped
77804,Graduate
77805,Graduate
77806,Dropped
77807,Graduate
77808,Enrolled
77809,Dropped
77810,Dropped
77811,Graduate
77812,Graduate
77813,Dropped
77814,Graduate
77815,Dropped
77816,Dropped
77817,Enrolled
77818,Enrolled
77819,Dropped
77820,Enrolled
77821,Graduate
77822,Graduate
77823,Dropped
77824,Dropped
77825,Graduate
77826,Graduate
77827,Enrolled
77828,Enrolled
77829,Enrolled
77830,Enrolled
77831,Enrolled
77832,Enrolled
77833,Dropped
77834,Graduate
77835,Dropped
77836,Dropped
77837,Graduate
77838,Dropped
77839,Enrolled
77840,Graduate
77841,Dropped
77842,Dropped
77843,Graduate
77844,Dropped
77845,Dropped
77846,Graduate
77847,Graduate
77848,Dropped
77849,Graduate
77850,Enrolled
77851,Enrolled
77852,Enrolled
77853,Dropped
77854,Graduate
77855,Graduate
77856,Graduate
77857,Graduate
77858,Graduate
77859,Enrolled
77860,Enrolled
77861,Graduate
77862,Enrolled
77863,Dropped
77864,Enrolled
77865,Graduate
77866,Enrolled
77867,Graduate
77868,Graduate
77869,Enrolled
77870,Graduate
77871,Enrolled
77872,Dropped
77873,Dropped
77874,Dropped
77875,Graduate
77876,Graduate
77877,Dropped
77878,Dropped
77879,Dropped
77880,Graduate
77881,Dropped
77882,Graduate
77883,Graduate
77884,Dropped
77885,Enrolled
77886,Dropped
77887,Dropped
77888,Enrolled
77889,Enrolled
77890,Graduate
77891,Dropped
77892,Enrolled
77893,Dropped
77894,Dropped
77895,Dropped
77896,Dropped
77897,Dropped
77898,Dropped
77899,Graduate
77900,Dropped
77901,Dropped
77902,Graduate
77903,Graduate
77904,Dropped
77905,Enrolled
77906,Graduate
77907,Graduate
77908,Graduate
77909,Graduate
77910,Enrolled
77911,Enrolled
77912,Dropped
77913,Dropped
77914,Graduate
77915,Graduate
77916,Dropped
77917,Graduate
77918,Graduate
77919,Dropped
77920,Graduate
77921,Graduate
77922,Enrolled
77923,Graduate
77924,Enrolled
77925,Graduate
77926,Dropped
77927,Enrolled
77928,Dropped
77929,Dropped
77930,Dropped
77931,Graduate
77932,Graduate
77933,Enrolled
77934,Dropped
77935,Enrolled
77936,Dropped
77937,Graduate
77938,Dropped
77939,Dropped
77940,Graduate
77941,Dropped
77942,Graduate
77943,Enrolled
77944,Dropped
77945,Graduate
77946,Graduate
77947,Dropped
77948,Graduate
77949,Enrolled
77950,Dropped
77951,Dropped
77952,Graduate
77953,Graduate
77954,Dropped
77955,Dropped
77956,Dropped
77957,Graduate
77958,Graduate
77959,Graduate
77960,Dropped
77961,Enrolled
77962,Enrolled
77963,Graduate
77964,Dropped
77965,Dropped
77966,Enrolled
77967,Dropped
77968,Dropped
77969,Enrolled
77970,Graduate
77971,Graduate
77972,Dropped
77973,Dropped
77974,Dropped
77975,Dropped
77976,Graduate
77977,Dropped
77978,Graduate
77979,Dropped
77980,Enrolled
77981,Dropped
77982,Graduate
77983,Graduate
77984,Graduate
77985,Dropped
77986,Graduate
77987,Graduate
77988,Enrolled
77989,Graduate
77990,Graduate
77991,Graduate
77992,Graduate
77993,Graduate
77994,Graduate
77995,Enrolled
77996,Enrolled
77997,Dropped
77998,Graduate
77999,Graduate
78000,Graduate
78001,Enrolled
78002,Enrolled
78003,Dropped
78004,Graduate
78005,Dropped
78006,Graduate
78007,Graduate
78008,Enrolled
78009,Dropped
78010,Dropped
78011,Graduate
78012,Dropped
78013,Enrolled
78014,Dropped
78015,Enrolled
78016,Dropped
78017,Dropped
78018,Graduate
78019,Graduate
78020,Graduate
78021,Graduate
78022,Dropped
78023,Dropped
78024,Dropped
78025,Dropped
78026,Enrolled
78027,Dropped
78028,Dropped
78029,Graduate
78030,Dropped
78031,Dropped
78032,Dropped
78033,Graduate
78034,Graduate
78035,Enrolled
78036,Dropped
78037,Enrolled
78038,Dropped
78039,Graduate
78040,Graduate
78041,Dropped
78042,Dropped
78043,Graduate
78044,Graduate
78045,Enrolled
78046,Graduate
78047,Dropped
78048,Dropped
78049,Graduate
78050,Graduate
78051,Dropped
78052,Graduate
78053,Graduate
78054,Dropped
78055,Graduate
78056,Graduate
78057,Dropped
78058,Dropped
78059,Dropped
78060,Graduate
78061,Enrolled
78062,Graduate
78063,Dropped
78064,Dropped
78065,Graduate
78066,Dropped
78067,Enrolled
78068,Graduate
78069,Graduate
78070,Dropped
78071,Graduate
78072,Graduate
78073,Graduate
78074,Dropped
78075,Dropped
78076,Dropped
78077,Graduate
78078,Enrolled
78079,Graduate
78080,Graduate
78081,Enrolled
78082,Graduate
78083,Graduate
78084,Dropped
78085,Enrolled
78086,Enrolled
78087,Dropped
78088,Dropped
78089,Dropped
78090,Graduate
78091,Dropped
78092,Dropped
78093,Graduate
78094,Dropped
78095,Dropped
78096,Graduate
78097,Dropped
78098,Graduate
78099,Enrolled
78100,Graduate
78101,Dropped
78102,Dropped
78103,Dropped
78104,Graduate
78105,Dropped
78106,Graduate
78107,Dropped
78108,Dropped
78109,Enrolled
78110,Dropped
78111,Dropped
78112,Dropped
78113,Dropped
78114,Dropped
78115,Graduate
78116,Enrolled
78117,Dropped
78118,Enrolled
78119,Dropped
78120,Dropped
78121,Graduate
78122,Dropped
78123,Graduate
78124,Dropped
78125,Dropped
78126,Graduate
78127,Graduate
78128,Graduate
78129,Enrolled
78130,Enrolled
78131,Graduate
78132,Enrolled
78133,Enrolled
78134,Dropped
78135,Dropped
78136,Dropped
78137,Dropped
78138,Dropped
78139,Graduate
78140,Enrolled
78141,Enrolled
78142,Dropped
78143,Enrolled
78144,Enrolled
78145,Graduate
78146,Graduate
78147,Dropped
78148,Graduate
78149,Dropped
78150,Dropped
78151,Dropped
78152,Graduate
78153,Graduate
78154,Dropped
78155,Graduate
78156,Dropped
78157,Graduate
78158,Enrolled
78159,Graduate
78160,Graduate
78161,Dropped
78162,Dropped
78163,Graduate
78164,Enrolled
78165,Graduate
78166,Graduate
78167,Graduate
78168,Dropped
78169,Dropped
78170,Dropped
78171,Enrolled
78172,Enrolled
78173,Dropped
78174,Graduate
78175,Dropped
78176,Dropped
78177,Graduate
78178,Dropped
78179,Dropped
78180,Dropped
78181,Graduate
78182,Dropped
78183,Graduate
78184,Dropped
78185,Dropped
78186,Graduate
78187,Enrolled
78188,Graduate
78189,Graduate
78190,Graduate
78191,Graduate
78192,Dropped
78193,Graduate
78194,Graduate
78195,Graduate
78196,Dropped
78197,Graduate
78198,Dropped
78199,Enrolled
78200,Enrolled
78201,Dropped
78202,Graduate
78203,Graduate
78204,Graduate
78205,Enrolled
78206,Graduate
78207,Dropped
78208,Graduate
78209,Graduate
78210,Dropped
78211,Graduate
78212,Enrolled
78213,Graduate
78214,Graduate
78215,Graduate
78216,Dropped
78217,Graduate
78218,Dropped
78219,Graduate
78220,Graduate
78221,Enrolled
78222,Graduate
78223,Dropped
78224,Graduate
78225,Dropped
78226,Dropped
78227,Dropped
78228,Dropped
78229,Dropped
78230,Graduate
